iter	Passed	Remaining
154	1446	7887
155	1456	7877
156	1465	7870
157	1475	7860
158	1484	7850
159	1493	7840
160	1503	7834
161	1512	7825
162	1521	7815
163	1531	7808
164	1541	7798
165	1550	7788
166	1559	7778
167	1569	7772
168	1578	7762
169	1587	7752
170	1597	7746
171	1607	7736
172	1616	7726
173	1625	7716
174	1635	7710
175	1644	7701
176	1654	7691
177	1664	7684
178	1673	7674
179	1683	7669
180	1692	7660
181	1703	7655
182	1713	7648
183	1722	7639
184	1732	7632
185	1741	7622
186	1751	7613
187	1760	7603
188	1770	7596
189	1779	7586
190	1788	7576
191	1798	7569
192	1807	7559
193	1817	7549
194	1826	7539
195	1836	7532
196	1845	7522
197	1854	7512
198	1864	7505
199	1873	7495
200	1883	7486
201	1892	7476
202	1902	7468
203	1911	7459
204	1920	7449
205	1927	7430
206	1937	7421
207	1946	7411
208	1955	7401
209	1965	7394
210	1974	7384
211	1984	7374
212	1993	7364
213	2003	7358
214	2012	7349
215	2022	7339
216	2031	7331
217	2041	7322
218	2050	7312
219	2059	7302
220	2069	7295
221	2078	7285
222	2088	7275
223	2098	7268
224	2107	7258
225	2116	7249
226	2125	7239
227	2135	7231
228	2145	7222
229	2154	7212
230	2164	7204
231	2173	7195
232	2182	7185
233	2191	7175
234	2202	7168
235	2211	7158
236	2220	7148
237	2230	7140
238	2239	7131
239	2248	7121
240	2258	7111
241	2267	7103
242	2277	7094
243	2286	7084
244	2296	7076
245	2305	7067
246	2314	7057
247	2324	7047
248	2333	7039
249	2343	7029
250	2352	7020
251	2362	7012
252	2371	7002
253	2380	6992
254	2390	6982
255	2399	6974
256	2409	6965
257	2418	6955
258	2428	6948
259	2437	6938
260	2447	6929
261	2456	6919
262	2466	6911
263	2475	6902
264	2485	6892
265	2495	6884
266	2504	6874
267	2513	6865
268	2522	6855
269	2532	6847
270	2542	6838
271	2551	6828
272	2561	6820
273	2570	6811
274	2579	6801
275	2589	6791
276	2598	6783
277	2608	6773
278	2617	6763
279	2627	6755
280	2636	6746
281	2645	6736
282	2654	6726
283	2664	6718
284	2674	6708
285	2683	6698
286	2694	6693
287	2703	6684
288	2713	6675
289	2722	6666
290	2732	6658
291	2742	6648
292	2751	6639
293	2761	6631
294	2770	6621
295	2779	6611
296	2789	6601
297	2799	6593
298	2808	6584
299	2817	6574
300	2827	6566
301	2836	6556
302	2845	6546
303	2855	6536
304	2864	6528
305	2874	6518
306	2883	6509
307	2893	6500
308	2902	6491
309	2911	6481
310	2921	6471
311	2931	6463
312	2940	6453
313	2949	6444
314	2959	6435
315	2968	6425
316	2977	6416
317	2987	6406
318	2997	6398
319	3006	6388
320	3015	6378
321	3025	6370
322	3034	6361
323	3044	6351
324	3053	6341
325	3063	6333
326	3072	6323
327	3081	6313
328	3091	6306
329	3101	6296
330	3110	6286
331	3119	6276
332	3129	6268
333	3138	6258
334	3148	6249
335	3158	6241
336	3167	6231
337	3176	6221
338	3185	6212
339	3195	6203
340	3204	6193
341	3214	6183
342	3224	6175
343	3233	6165
344	3242	6156
345	3251	6146
346	3261	6138
347	3271	6128
348	3280	6119
349	3290	6110
350	3299	6101
351	3309	6092
352	3318	6082
353	3328	6073
354	3337	6064
355	3346	6054
356	3356	6046
357	3366	6036
358	3375	6026
359	3384	6016
360	3394	6008
361	3403	5998
362	3413	5989
363	3422	5979
364	3432	5971
365	3441	5961
366	3450	5951
367	3460	5943
368	3469	5933
369	3479	5924
370	3488	5914
371	3498	5906
372	3508	5897
373	3517	5887
374	3528	5880
375	3537	5870
376	3547	5861
377	3556	5852
378	3566	5843
379	3575	5833
380	3584	5823
381	3594	5815
382	3603	5805
383	3612	5795
384	3622	5787
385	3632	5777
386	3641	5768
387	3650	5758
388	3660	5749
389	3669	5739
390	3678	5730
391	3688	5720
392	3698	5712
393	3708	5703
394	3717	5694
395	3727	5685
396	3736	5675
397	3746	5666
398	3756	5657
399	3765	5648
400	3774	5638
401	3783	5628
402	3793	5619
403	3802	5610
404	3812	5600
405	3821	5591
406	3831	5582
407	3840	5573
408	3850	5563
409	3860	5555
410	3869	5545
411	3878	5535
412	3889	5527
413	3898	5518
414	3907	5508
415	3917	5498
416	3926	5489
417	3935	5480
418	3945	5470
419	3954	5460
420	3964	5451
421	3973	5442
422	3982	5432
423	3992	5423
424	4001	5414
425	4011	5404
426	4020	5394
427	4030	5386
428	4039	5376
429	4048	5366
430	4058	5358
431	4067	5348
432	4077	5339
433	4086	5330
434	4096	5321
435	4106	5311
436	4115	5302
437	4125	5294
438	4135	5284
439	4144	5274
440	4153	5265
441	4163	5256
442	4173	5246
443	4182	5237
444	4192	5228
445	4201	5218
446	4210	5209
447	4220	5199
448	4229	5190
449	4239	5181
450	4248	5171
451	4258	5163
452	4267	5153
453	4277	5144
454	4288	5136
455	4297	5126
456	4307	5117
457	4316	5108
458	4326	5099
459	4335	5089
460	4345	5080
461	4354	5071
462	4364	5061
463	4373	5052
464	4382	5042
465	4392	5033
466	4401	5023
467	4410	5014
468	4420	5005
469	4429	4995
470	4439	4985
471	4448	4976
472	4458	4967
473	4467	4957
474	4476	4948
475	4486	4939
476	4496	4929
477	4505	4920
478	4514	4910
479	4524	4901
480	4533	4891
481	4542	4882
482	4552	4872
483	4561	4863
484	4571	4853
485	4580	4844
486	4590	4835
487	4599	4825
488	4609	4816
489	4618	4806
490	4628	4797
491	4637	4788
492	4646	4778
493	4656	4769
494	4665	4759
495	4674	4750
496	4683	4740
497	4694	4731
498	4704	4722
499	4713	4713
500	4723	4704
501	4732	4695
502	4742	4685
503	4751	4675
504	4761	4666
505	4770	4657
506	4779	4647
507	4789	4639
508	4799	4629
509	4808	4619
510	4817	4610
511	4827	4601
512	4837	4592
513	4846	4582
514	4856	4573
515	4866	4564
516	4875	4554
517	4884	4545
518	4894	4536
519	4903	4526
520	4912	4516
521	4922	4507
522	4932	4498
523	4941	4488
524	4950	4479
525	4960	4470
526	4969	4460
527	4979	4451
528	4989	4442
529	4998	4432
530	5007	4422
531	5016	4413
532	5026	4404
533	5036	4394
534	5045	4385
535	5055	4376
536	5064	4366
537	5073	4356
538	5082	4347
539	5092	4338
540	5101	4328
541	5111	4318
542	5120	4309
543	5130	4300
544	5139	4290
545	5148	4281
546	5158	4271
547	5167	4262
548	5176	4252
549	5186	4243
550	5195	4234
551	5205	4224
552	5214	4214
553	5224	4205
554	5233	4196
555	5242	4186
556	5252	4177
557	5262	4168
558	5271	4158
559	5280	4149
560	5290	4139
561	5299	4130
562	5308	4120
563	5318	4111
564	5328	4102
565	5337	4092
566	5346	4083
567	5356	4073
568	5365	4064
569	5374	4054
570	5384	4045
571	5393	4036
572	5403	4026
573	5412	4017
574	5422	4008
575	5432	3998
576	5441	3989
577	5451	3980
578	5460	3970
579	5470	3961
580	5479	3951
581	5489	3942
582	5498	3933
583	5507	3923
584	5517	3914
585	5527	3904
586	5536	3895
587	5545	3885
588	5555	3876
589	5565	3867
590	5575	3858
591	5585	3849
592	5594	3839
593	5604	3830
594	5613	3821
595	5623	3812
596	5633	3802
597	5642	3793
598	5652	3783
599	5661	3774
600	5671	3765
601	5680	3755
602	5690	3746
603	5701	3738
604	5711	3728
605	5721	3720
606	5731	3710
607	5741	3701
608	5751	3692
609	5760	3683
610	5770	3673
611	5779	3663
612	5789	3654
613	5798	3645
614	5807	3635
615	5817	3626
616	5826	3616
617	5835	3607
618	5845	3597
619	5854	3588
620	5864	3578
621	5873	3569
622	5883	3560
623	5892	3550
624	5902	3541
625	5911	3531
626	5921	3522
627	5930	3512
628	5939	3503
629	5948	3493
630	5958	3484
631	5968	3475
632	5977	3465
633	5987	3456
634	5996	3446
635	6005	3437
636	6015	3428
637	6024	3418
638	6034	3408
639	6043	3399
640	6053	3390
641	6062	3380
642	6071	3371
643	6081	3362
644	6091	3352
645	6100	3342
646	6109	3333
647	6119	3324
648	6128	3314
649	6137	3305
650	6147	3295
651	6157	3286
652	6166	3276
653	6175	3267
654	6185	3258
655	6194	3248
656	6204	3238
657	6213	3229
658	6223	3220
659	6232	3210
660	6241	3201
661	6252	3192
662	6261	3182
663	6270	3173
664	6279	3163
665	6289	3154
666	6298	3144
667	6307	3135
668	6317	3125
669	6326	3116
670	6336	3106
671	6345	3097
672	6355	3087
673	6364	3078
674	6373	3068
675	6383	3059
676	6392	3050
677	6402	3040
678	6411	3030
679	6421	3021
680	6430	3012
681	6439	3002
682	6449	2993
683	6458	2983
684	6468	2974
685	6477	2964
686	6487	2955
687	6496	2946
688	6505	2936
689	6515	2927
690	6524	2917
691	6534	2908
692	6543	2898
693	6553	2889
694	6562	2879
695	6571	2870
696	6581	2861
697	6590	2851
698	6599	2841
699	6609	2832
700	6618	2823
701	6628	2813
702	6637	2804
703	6646	2794
704	6656	2785
705	6665	2775
706	6675	2766
707	6685	2757
708	6694	2747
709	6703	2738
710	6715	2729
711	6724	2720
712	6734	2710
713	6743	2701
714	6753	2691
715	6762	2682
716	6771	2672
717	6781	2663
718	6790	2654
719	6800	2644
720	6809	2634
721	6819	2625
722	6828	2616
723	6837	2606
724	6847	2597
725	6857	2587
726	6866	2578
727	6875	2568
728	6885	2559
729	6894	2550
730	6903	2540
731	6913	2531
732	6923	2521
733	6932	2512
734	6941	2502
735	6951	2493
736	6960	2483
737	6969	2474
738	6979	2464
739	6988	2455
740	6997	2445
741	7006	2436
742	7016	2427
743	7025	2417
744	7035	2407
745	7044	2398
746	7054	2389
747	7063	2379
748	7072	2370
749	7082	2360
750	7091	2351
751	7101	2341
752	7111	2332
753	7120	2323
754	7129	2313
755	7138	2304
756	7148	2294
757	7158	2285
758	7167	2275
759	7176	2266
760	7186	2256
761	7195	2247
762	7204	2237
763	7214	2228
764	7223	2219
765	7233	2209
766	7242	2200
767	7252	2190
768	7261	2181
769	7270	2171
770	7280	2162
771	7289	2152
772	7298	2143
773	7308	2133
774	7318	2124
775	7327	2115
776	7336	2105
777	7346	2096
778	7355	2086
779	7364	2077
780	7374	2067
781	7383	2058
782	7393	2048
783	7402	2039
784	7412	2030
785	7421	2020
786	7430	2011
787	7439	2001
788	7449	1992
789	7459	1982
790	7468	1973
791	7478	1963
792	7487	1954
793	7496	1945
794	7506	1935
795	7515	1926
796	7525	1916
797	7534	1907
798	7544	1897
799	7553	1888
800	7562	1878
801	7571	1869
802	7581	1860
803	7591	1850
804	7600	1841
805	7610	1831
806	7619	1822
807	7628	1812
808	7637	1803
809	7647	1793
810	7656	1784
811	7666	1774
812	7676	1765
813	7685	1756
814	7694	1746
815	7703	1737
816	7714	1728
817	7724	1718
818	7734	1709
819	7744	1699
820	7753	1690
821	7762	1680
822	7771	1671
823	7781	1662
824	7791	1652
825	7800	1643
826	7810	1633
827	7819	1624
828	7829	1614
829	7838	1605
830	7848	1596
831	7857	1586
832	7866	1577
833	7876	1567
834	7886	1558
835	7895	1548
836	7904	1539
837	7914	1530
838	7923	1520
839	7933	1511
840	7943	1501
841	7952	1492
842	7961	1482
843	7970	1473
844	7980	1463
845	7989	1454
846	7999	1444
847	8009	1435
848	8018	1426
849	8027	1416
850	8036	1407
851	8046	1397
852	8055	1388
853	8065	1378
854	8075	1369
855	8084	1359
856	8093	1350
857	8102	1341
858	8112	1331
859	8122	1322
860	8131	1312
861	8140	1303
862	8150	1293
863	8159	1284
864	8168	1274
865	8178	1265
866	8188	1256
867	8197	1246
868	8206	1237
869	8216	1227
870	8226	1218
871	8235	1208
872	8245	1199
873	8254	1189
874	8263	1180
875	8273	1171
876	8283	1161
877	8292	1152
878	8301	1142
879	8311	1133
880	8320	1123
881	8329	1114
882	8339	1104
883	8348	1095
884	8358	1086
885	8367	1076
886	8377	1067
887	8386	1057
888	8395	1048
889	8404	1038
890	8415	1029
891	8424	1019
892	8433	1010
893	8443	1001
894	8452	991
895	8462	982
896	8471	972
897	8481	963
898	8490	953
899	8499	944
900	8509	934
901	8518	925
902	8527	916
903	8537	906
904	8547	897
905	8556	887
906	8565	878
907	8575	868
908	8584	859
909	8594	849
910	8603	840
911	8613	831
912	8622	821
913	8631	812
914	8641	802
915	8651	793
916	8660	783
917	8669	774
918	8679	765
919	8688	755
920	8697	746
921	8708	736
922	8717	727
923	8727	717
924	8736	708
925	8746	698
926	8755	689
927	8764	680
928	8774	670
929	8784	661
930	8793	651
931	8802	642
932	8812	632
933	8821	623
934	8831	613
935	8840	604
936	8850	595
937	8859	585
938	8868	576
939	8878	566
940	8887	557
941	8896	547
942	8906	538
943	8916	528
944	8925	519
945	8934	510
946	8944	500
947	8953	491
948	8962	481
949	8972	472
950	8981	462
951	8990	453
952	8999	443
953	9009	434
954	9019	425
955	9028	415
956	9038	406
957	9048	396
958	9057	387
959	9067	377
960	9077	368
961	9086	358
962	9095	349
963	9105	340
964	9114	330
965	9124	321
966	9133	311
967	9143	302
968	9152	292
969	9161	283
970	9171	273
971	9181	264
972	9190	255
973	9199	245
974	9209	236
975	9218	226
976	9227	217
977	9237	207
978	9246	198
979	9256	188
980	9265	179
981	9275	170
982	9284	160
983	9293	151
984	9302	141
985	9312	132
986	9322	122
987	9331	113
988	9341	103
989	9350	94
990	9359	84
991	9368	75
992	9378	66
993	9387	56
994	9396	47
995	9406	37
996	9415	28
997	9425	18
998	9434	9
999	9444	0
