iter	Passed	Remaining
0	10	10224
1	19	9762
2	28	9556
3	38	9602
4	47	9516
5	57	9461
6	67	9507
7	76	9453
8	85	9415
9	94	9368
10	104	9392
11	111	9150
12	120	9140
13	129	9123
14	139	9146
15	148	9132
16	157	9122
17	167	9142
18	176	9127
19	186	9116
20	195	9102
21	205	9122
22	214	9108
23	223	9097
24	233	9107
25	242	9093
26	251	9080
27	261	9063
28	271	9075
29	280	9062
30	289	9050
31	299	9059
32	308	9048
33	318	9043
34	327	9027
35	337	9030
36	346	9018
37	355	9006
38	365	8997
39	375	9000
40	384	8989
41	393	8975
42	403	8977
43	412	8965
44	421	8952
45	430	8938
46	440	8939
47	450	8927
48	459	8914
49	469	8912
50	478	8900
51	485	8843
52	494	8831
53	504	8832
54	510	8768
55	519	8757
56	528	8745
57	538	8746
58	547	8736
59	556	8725
60	566	8726
61	576	8715
62	585	8705
63	594	8694
64	602	8668
65	611	8658
66	621	8650
67	630	8639
68	640	8637
69	649	8627
70	656	8592
71	665	8578
72	675	8579
73	686	8586
74	695	8576
75	705	8579
76	714	8570
77	724	8559
78	733	8556
79	743	8546
80	752	8537
81	761	8526
82	771	8523
83	780	8513
84	789	8501
85	799	8498
86	808	8488
87	818	8478
88	827	8467
89	837	8463
90	846	8453
91	855	8443
92	865	8439
93	874	8428
94	883	8418
95	892	8408
96	902	8404
97	912	8394
98	921	8384
99	931	8381
100	940	8371
101	949	8361
102	958	8351
103	968	8347
104	978	8336
105	987	8326
106	996	8316
107	1006	8312
108	1015	8302
109	1024	8291
110	1034	8286
111	1043	8276
112	1053	8266
113	1062	8256
114	1072	8250
115	1081	8241
116	1090	8230
117	1100	8225
118	1109	8215
119	1118	8205
120	1128	8194
121	1138	8190
122	1147	8180
123	1156	8170
124	1166	8164
125	1175	8154
126	1184	8144
127	1193	8133
128	1203	8129
129	1213	8119
130	1222	8110
131	1232	8104
132	1241	8095
133	1251	8085
134	1260	8075
135	1270	8068
136	1279	8059
137	1288	8050
138	1298	8044
139	1308	8035
140	1317	8025
141	1326	8014
142	1336	8009
143	1345	7999
144	1354	7989
145	1364	7983
146	1374	7973
147	1383	7964
148	1392	7954
149	1402	7948
150	1411	7938
151	1421	7929
152	1427	7903
153	1437	7897
