iter	Logloss
0	0.6882708333
1	0.6835517795
2	0.6787720486
3	0.674222526
4	0.6697656684
5	0.6654760417
6	0.6611163194
7	0.6568947917
8	0.6527813368
9	0.6489657986
10	0.6451253472
11	0.6414623264
12	0.6376951823
13	0.6340486979
14	0.6305000868
15	0.6270072917
16	0.6236722656
17	0.6203493056
18	0.617175651
19	0.6139907118
20	0.6109243056
21	0.6078631076
22	0.6048459201
23	0.6018753472
24	0.5990606337
25	0.5962619358
26	0.5935357205
27	0.5909558594
28	0.5884044705
29	0.5858172743
30	0.5833960503
31	0.5809907552
32	0.5786164931
33	0.5762896267
34	0.5741420573
35	0.5719913628
36	0.5698798611
37	0.5679043403
38	0.5658598958
39	0.5638771267
40	0.5620039062
41	0.5601617187
42	0.5583398438
43	0.5565250434
44	0.5547477865
45	0.5529483507
46	0.5511715712
47	0.5495709201
48	0.547950434
49	0.5463310764
50	0.5447473958
51	0.5433965712
52	0.5418721788
53	0.5403480469
54	0.539080816
55	0.5376842882
56	0.536328776
57	0.5349661024
58	0.5336365885
59	0.5323600694
60	0.5312075521
61	0.5300756944
62	0.5288598958
63	0.5277040365
64	0.5266490017
65	0.5254995226
66	0.5243893229
67	0.5233174045
68	0.5222901476
69	0.5213493056
70	0.5204765625
71	0.5195639323
72	0.5186309462
73	0.5176991753
74	0.5167745226
75	0.5159523003
76	0.5150811632
77	0.5141888889
78	0.5133403212
79	0.5125261719
80	0.5117243924
81	0.5109149306
82	0.5101642361
83	0.5093911892
84	0.5086963108
85	0.5079306424
86	0.5072166233
87	0.5064738715
88	0.5058201823
89	0.5051565972
90	0.5045234809
91	0.503877908
92	0.503274566
93	0.5026603299
94	0.5020688802
95	0.5014934028
96	0.5008967014
97	0.5003318142
98	0.4997815972
99	0.4992341146
100	0.4986918837
101	0.4982103299
102	0.4976978299
103	0.4972115451
104	0.4967128472
105	0.4962177083
106	0.4957391493
107	0.4952657986
108	0.4948006944
109	0.4943670139
110	0.4939250868
